	ヶ
corset	コルセット
corticoid	コルチコイド
corticosteroid	コルチコステロイド
cortisol	コルチゾール
cortisone	コーチゾン
corundum	コランダム
corvette	コルベット
coryphee	コリュフェイ
cos	コサイン
cosecant	コセカント
cosine	コサイン
cosmetic	コスメチック
cosmetics	コスメ
cosmetology	コスメトロジー
cosmic	コズミック
cosmology	コスモロジー
cosmonaut	コスモノート
cosmopolis	コスモポリス
cosmopolitan	コスモポリタン
cosmopolitanism	コスモポリタニズム
cosmos	コスモ
cosplay	コスチュームプレー
cosplayer	コスプレイヤー
cosplayers	コスプレイヤー
cost	コスト
costume	コスチューム
cosy	アットホーム
cotangent	コタンジェント
cottage	コッテージ
cotter	コッター
cotton	コットン
couch	カウチ
couchette	クーシェット
cougar	クーガー
couloir	クーロアール
coulomb	クーロン
coulometer	クーロメーター
council	カウンシル
counseling	カウンセリング
counsellor	カウンセラー
counselor	カウンセラー
count	カウント
count-out	カウントアウト
countdown	カウントダウン
counter	カウンタ
counter-propagation	カウンタープロパゲーション
counterblow	カウンターブロウ
countercheck	ダブルチェック
counterculture	カウンターカルチャー
counterintelligence	カウンターインテリジェンス
counterpart	カウンターパート
counterpunch	カウンターパンチ
counterpurchase	カウンターパーチェス
countertenor	カウンターテナー
country	カントリー
county	カウンティ
coup	クーデター
coupe	クーペ
couple	カップル
coupler	カップラ
coupling	カップリング
coupon	クーポン
courante	クーラント
courgette	ズッキーニ
courier	クーリエ
course	クール
courseline	コースライン
courseware	コースウェア
court	コート
courtesy	カーテシ
courthouse	コートハウス
courtyard	コートヤード
couscous	クスクス
couturier	クチュリエ
couturiere	クチュリエール
couvade	クーバード
cover	カヴァ
coverage	カバレッジ
covering	カバーリング
cowbell	カウベル
cowberry	コケモモ
cowboy	カーボーイ
cowhide	カウハイド
cowl	カウル
cowling	カウリング
cowrie	タカラガイ
cox	コックス
coyote	コヨーテ
cozy	アットホーム
crab	クラブ
crack	クラック
cracker	クラッカ
cracking	クラッキング
cradle	クレードル
craft	クラフト
craftsman	クラフトマン
crampon	クランポン
crampons	アイゼン
cranberry	クランベリー
crane	クレーン
crank	クランク
crankback	クランクバック
crankcase	クランクケース
crankshaft	クランクシャフト
crap	チェ
crash	クラッシュ
crasher	クラッシャー
crater	クレーター
cravenette	クレバネット
crawl	クロール
crawler	クロウラー
crayfish	エビ
crayon	クレヨン
crazy	クレイジー
creak	キィキィ
creaking	ミシミシ
cream	クリーム
creamy	クリーミー
create	クリエイト
creatine	クレアチン
creatinine	クレアチニン
creation	クリエーション
creative	クリエイティヴ
creativity	クリエーティビティー
creator	クリエイター
creature	クリーチャー
credit	クレジット
credit-based	クレジットベース
creditholic	クレジットホリック
credo	クレド
creek	クリーク
creep	クリープ
creole	クリオール
creosote	クレオソート
crepe	クレープ
crescendo	クレシェンド
crescent	クレセント
cresol	クレゾール
crest	ワッペン
crevasse	クレバス
crew	クルー
crew-cut	クルーカット
crib	ベビーベッド
cricket	キリギリス
crimson	クリムソン
crinoid	ウミユリ
crinoline	クリノリン
crisis	クライシス
crisp	サクサク
crispy	クリスピー
criteria	クライテリア
critic	クリティック
critical	クリティカル
criticism	クリティシズム
critique	クリティーク
croak	カーカー
crockery	セトモノ
crocodile	クロコダイル
crocodilian	ワニ
crocus	クローカス
croissant	クロワッサン
cron	クーロン
crooner	クルーナー
crop	クロップ
cropping	シャリング
croquet	クロケット
croquette	クロケット
cross	クロース
cross-check	クロスチェック
cross-country	クロスカントリー
cross-examination	クロスエグザミネーション
cross-license	クロスライセンス
cross-licensing	クロスライセンス
cross-platform	クロスプラットホーム
cross-post	クロスポスト
cross-reference	クロスレファレンス
cross-section	クロスセクション
cross-selling	クロスセリング
cross-stitch	クロススティッチ
cross-training	クロストレーニング
cross-voting	クロスボーティング
crossbar	クロスバー
crossfooting	クロスフッティング
crosshatching	ケカアミ
crosshead	クロスヘッド
crossover	クロスオーバー
crosspoint	クロスポイント
crosstalk	クロストーク
crossword	クロスワード
croton	クロトン
crouch	クラウチ
croup	クループ
crouton	クルートン
crow	カラス
crowd	クラウド
crown	クラウン
cruise	クルーズ
cruiser	クルーザー
cruising	クルージング
cruller	クルーラー
crumbling	ボロボロ
crumhorn	クルムホルン
crumpled	グシャグシャ
crunch	クランチ
crunchy	カリット
crusader	クルーセーダー
crusher	クラッシャー
crust	クラスト
cry	クライ
crying	ショーロ
cryoelectronics	クライオエレクトロニクス
cryogenics	クライオジーニクス
crypto	クリプト
crystal	クリスタル
cub	カブ
cube	キューブ
cubic	キュービック
cubicle	キュービクル
cubisme	キュビスム
cubit	キュービット
cuckold	コキュ
cuckoo	ククー
cucumber	キュウリ
cue	キュー
cuffs	カフス
cuffs-cover	カフスカバー
cuisine	キュイジーヌ
culotte	キュロット
culottes	キュロットスカート
cult	カルト
cultivator	カルチベーター
culture	カルチャー
cum	カルピス
cumin	クミン
cummerbund	カマーバンド
cunnilingus	クンニ
cup	カップ
cupboard	カップボード
cupcake	カップケーキ
cupola	キューポラ
cupra	キュプラ
cupronickel	キュプロニッケル
curacao	キュラソー
curare	クラーレ
curator	キュレーター
curd	カード
curdle	カードル
cure	キュア
curette	キューレット
curie	キュリー
curiosity	キュリオシティー
curium	キュリウム
curl	カール
curler	カーラー
curlew	シャクシギ
curling	カーリング
currant	スグリ
currants	カランツ
currency	カレンシー
current	カレント
current-loop	カレントループ
curriculum	カリキュラム
curry	カレー
curse	カース
cursor	カーソル
curtain	カーテン
curtains	カーテン
curve	カーヴ
curvimeter	キルビメーター
cuscus	カスカス
cushion	クッション
cusso	クッソ
custard	カスタード
custom	カスタム
custom-made	オーダーメイド
customer	カスタマ
customise	カスタマイズ
customiser	カスタマイザ
customize	カスタマイズ
customizer	カスタマイザ
customs	カスタムズ
cut	カット
cut-in	カットイン
cutaway	カッタウエイ
cutback	カットバック
cutch	カッチ
cute	キュート
cuticle	キューティクル
cuticule	クチクラ
cutie	キューティー
cutin	クチン
cutlery	カトラリー
cutlet	カツ
cutline	キャプション
cutoff	カットオフ
cutout	カットアウト
cutover	カットオーバ
cutter	カッター
cutting	カッティング
cuttlefish	コウイカ
cutwork	カットワーク
cwm	カール
cyan	シアン
cyanamide	シアナミド
cyanobacteria	シアノバクテリア
cyanocobalamin	シアノコバラミン
cyanosis	チアノーゼ
cyber	サイバー
cybercafe	インターネットカフェ
cybercash	サイバーキャッシュ
cybermall	サイバーモール
cybernation	サイバネ
cybernetics	サイバネティクス
cyberpunk	サイバーパンク
cyberspace	サイバースペース
cybersquatter	サイバースクワッター
cyberterrorism	サイバーテロ
cyborg	サイボーグ
cycasin	サイカシン
cyclamen	シクラメン
cycle	サイクル
cyclic	サイクリック
cycling	サイクリング
cyclist	サイクリスト
cyclo	シクロ
cyclo-cross	シクロクロス
cyclocross	シクロクロス
cyclocytidine	サイクロシチジン
cyclodextrin	シクロデキストリン
cyclohexane	シクロヘキサン
cycloid	サイクロイド
cyclometer	サイクロメーター
cyclone	サイクロン
cyclophosphamide	シクロホスファミド
cyclopropane	シクロプロパン
cyclops	ケンミジンコ
cycloserine	サイクロセリン
cyclosporin	シクロスポリン
cyclosporine	サイクロスポリン
cyclotron	サイクロトロン
cylinder	シリンダ
cymbal	シンバル
cymbalom	ツィンバロム
cymbals	シンバル
cymbidium	シンビジウム
cynic	シニック
cynical	シニカル
cynicism	シニシズム
cypress	サイプレス
cysteine	システイン
cystine	シスチン
cytochrome	シトクロム
cytokine	サイトカイン
cytokinin	サイトカイニン
cytomegalovirus	サイトメガロウイルス
cytosine	シトシン
czar	ツァー
czarism	ツァーリズム
dBASE	ディーベース
da	ダカ
dab	ダブ
dachshund	ダックスフント
dacite	デイサイト
dacron	ダクロン
dactinomycin	ダクチノマイシン
daddy	ダディ
daemon	ディーモン
daffodil	ラッパスイセン
dagger	ダガー
daguerreotype	ダゲレオタイプ
daguerrotype	ダゲレオタイプ
dahlia	ダーリア
daily	デイリー
daiquiri	ダイキリ
dairy	ミルクプラント
daisy	ヒメジオン
daisy-chain	デイジーチェーン
daka-	ダカ
dalasi	ダラシ
dam	ダム
dam-site	ダムサイト
damage	ダメージ
damask	ダマスク
dammit	チェ
damper	ダンパ
dance	ダンス
danceable	ダンサブル
